,Response
9586534,0
9909678,0
3333964,0
98928,0
11027248,0
7896982,0
9770346,0
7789088,0
1438323,0
7225888,0
8399437,0
471698,0
3197547,1
2466563,1
8738602,0
7863646,1
8063681,0
2425615,0
5278378,1
5861890,0
226295,0
3792152,0
2451683,0
6101074,0
963112,0
5350215,0
1891265,0
10361038,1
8723163,0
5701450,0
9556043,0
3656967,0
9189765,0
8000008,0
9356237,0
9839266,0
4901683,0
7652259,0
3002419,0
3708279,0
7010788,0
2641545,0
10820188,0
1672259,0
5446160,0
8606984,1
1963228,0
9688002,0
3630564,0
11195834,0
4519570,0
6042848,0
1563808,0
6093605,0
1611721,0
165045,0
8345598,0
3501680,0
8886604,0
6609046,0
5481669,0
11391433,0
9498916,0
4157749,0
9130862,0
4548446,0
1245407,1
7506761,0
2451040,1
6041492,1
6005536,0
10028876,1
567836,0
8392721,0
2268720,0
615743,0
2694359,0
4301616,0
5407198,0
9144310,0
5711692,0
4034485,0
10215199,1
7098577,0
1072953,1
6254699,0
8693693,0
5719477,1
7370097,0
10000052,0
7881945,1
3327073,0
6993008,0
6691548,0
3079255,0
8052431,0
9817854,0
10677666,0
11068700,0
4657808,0
1607619,0
2592412,1
2286703,0
10470685,1
1559024,0
11381301,0
5778171,0
441779,0
4914366,1
956476,0
490114,0
8354724,1
2897283,0
10882822,0
8617874,0
8330553,0
5303065,0
9250369,0
7833124,1
2876760,0
152189,0
516626,0
4419467,0
1887272,0
10276937,0
9336650,0
7648642,0
2281643,0
6474674,0
1311223,0
11064200,0
7277585,0
832931,0
7450283,0
135889,0
9088114,0
567644,1
878150,1
4300791,0
8554942,0
575120,0
6944074,0
9195360,0
2178015,0
1211430,0
456903,0
10979755,0
8726471,0
4738479,1
1419654,0
10710063,1
2161069,0
2845967,0
8588738,0
3107398,0
3980975,0
7147463,0
9816006,0
2846626,0
6156550,0
6495807,0
3173013,0
5266574,0
4668920,0
7414922,0
5137138,0
6631695,0
4687209,0
4595833,0
5427554,0
8302729,0
4909631,0
3727034,0
4429526,0
2028506,0
4021257,0
1823072,0
1460880,0
390456,0
5928935,0
7090299,0
3400057,0
7633034,0
7795704,0
124624,0
10623418,1
6578739,0
11276578,0
11263396,0
11091616,1
3237215,0
8132233,1
7905775,0
9935729,0
7007260,0
1929134,1
9323383,0
5457225,1
10663315,0
8137839,0
2180698,0
2501168,0
3999764,0
3506358,0
8205567,0
9672166,0
6093705,0
10204397,0
10430941,0
3900759,0
5787876,0
4348884,1
9052588,0
4167906,0
3107927,0
7446583,0
7399395,0
6776595,1
2429345,0
4384936,0
1808261,0
5085548,1
6230228,0
6816789,0
8971215,0
3391633,0
8476204,0
3156567,1
2312796,0
4000479,0
2838822,0
392765,0
2597061,0
9740180,0
8017967,0
586865,0
4493098,0
1169272,0
7558246,0
8784129,0
868877,0
6785048,0
1297510,0
9301546,0
9033902,0
4562582,0
8010880,0
9563720,0
809335,0
10093732,1
2561347,0
236165,0
5989716,0
3103513,0
3207422,0
5077189,0
1543313,0
6221501,0
8764505,0
9400243,0
4596440,0
7573583,0
8469781,0
6739516,0
592540,0
9143795,0
4074107,0
2680128,0
7441172,0
9005979,1
11352053,1
9893017,1
8281620,0
8797920,0
2343743,0
8921699,0
10061518,0
2546770,0
8309948,0
11103682,0
4932065,0
1654647,0
6873566,0
5262469,0
7827770,0
9479630,0
10725797,0
7138144,0
7399591,1
4154186,0
10501628,0
2032771,0
8494021,0
11287426,1
8851231,1
4200755,0
392993,0
8299655,0
11409776,0
6376959,0
709826,1
6567864,0
9294600,0
8903198,0
7437718,0
7392536,0
11010436,1
10997235,0
2888869,0
8374422,0
11443525,0
1176081,0
700613,0
4416413,0
8944896,0
9157653,0
6127787,1
2589521,0
2282874,0
460218,0
8461470,0
5496129,0
7392062,1
7799343,0
11332557,0
893445,0
5889882,0
7553793,0
10824489,0
11069904,0
10360961,0
9915877,0
6997454,0
1431170,0
4960435,0
4912660,1
6419911,0
7153640,0
87271,0
7998359,0
10417117,0
3130600,0
7214928,0
9689325,0
6586716,0
7094902,0
315465,0
6004706,0
9223313,0
2646340,1
5040619,0
4341817,1
2911812,0
7035064,0
4573495,1
4068300,1
8088534,0
4602772,0
2644769,0
7875067,0
8822134,0
2598374,1
3635258,0
6737543,0
378634,0
1994151,0
8519915,0
10214392,0
6885317,0
2756998,0
10509401,0
6426482,0
5750258,0
2802073,0
6604325,0
4347769,0
4158612,0
3282209,0
10968153,1
5895335,0
8705156,0
7508371,0
9656216,0
10981677,0
1543477,0
7115633,0
2801677,1
9345495,0
3364846,0
1504540,0
10407450,0
6838045,0
3986869,0
7074976,0
10655566,0
11493489,0
7237534,0
1283759,1
8606649,0
1205691,0
3412500,0
10804732,0
2217778,0
385313,0
9504612,0
8196239,0
503933,0
1261411,0
11269909,0
9938818,0
5433500,0
8210070,0
10119739,0
8760174,0
4030739,0
6837772,0
7656380,0
5095621,0
10133184,0
10075417,0
10387565,1
8277781,0
8826428,0
5221348,0
8783398,0
5079942,0
8221520,0
53610,0
10384072,0
7966478,0
2365743,0
9653925,0
10872295,0
9765142,1
2113126,0
3940058,0
8257574,0
8187678,0
7739452,0
4127818,0
7840367,0
2272120,0
7660258,0
10167823,1
4611407,0
4693762,0
6583012,0
6729360,0
5654388,0
8982057,0
7004046,0
9237704,0
6284433,0
10292330,0
1176997,0
2262972,1
7933021,0
7306469,0
9388161,0
8296576,0
6746844,0
3506754,0
11365008,0
5966365,0
2004035,0
781721,0
5145317,0
8819916,0
7263941,0
8023049,0
10007984,1
11145653,0
2767162,0
6620029,0
2873231,0
963813,0
1487872,0
9559778,0
1055573,0
7389774,0
3855929,0
9572073,0
1686888,1
11032781,0
11033441,0
2634455,0
1138867,0
1977804,0
10322973,0
3004951,0
2534021,0
2171681,0
3061182,0
2989988,0
8127580,1
10672505,0
5813234,1
5934043,0
6572806,0
1490776,0
6216191,1
1244295,0
3414214,1
11019421,0
6363973,0
11172014,0
6580977,1
9866332,1
5384375,0
6276010,0
5022419,0
1053146,1
484951,0
3674338,0
10782008,0
8760723,0
1253516,0
1239480,0
9457170,0
7651130,1
3059637,0
8511137,0
5930850,0
947813,0
1561921,0
3686906,0
11334851,0
2881357,1
9923157,1
7859943,0
996538,0
8722752,0
10431455,0
7837333,0
9852668,0
10347605,0
289944,0
8953130,1
7627639,0
323569,0
4038388,0
103448,0
10287930,0
7460028,0
1498758,0
9339641,0
9653410,0
2231091,0
1655388,0
4049815,0
6967915,1
9769006,0
6325191,0
4842305,0
40719,0
8347674,0
5507496,1
6753922,1
5023205,0
2875261,0
11274677,0
6271885,0
1210351,0
11225460,0
8779552,1
6558750,0
9268558,0
2346869,0
378675,0
11226972,0
2940097,0
10440375,0
9630138,0
7106250,0
274170,0
10847584,0
4718204,0
9025471,0
10019248,0
4261464,0
11286444,0
2230770,0
3351764,0
9404311,0
3312549,0
5821151,0
4953564,0
10845003,0
6079053,0
7487558,0
11183230,0
11357788,0
11285308,0
6575052,0
10160952,0
6451481,0
7714823,1
11088170,0
10169753,0
5899025,0
10975798,0
11460062,0
8049376,0
2779873,0
11350600,0
10926025,0
1994905,0
7735915,0
4631357,0
4256738,0
4322095,0
10247456,0
2077653,0
10474695,0
8494762,0
2297941,0
5310498,0
3423067,0
3592391,0
4338729,0
11185730,0
11218156,0
7734164,0
8592284,0
10281257,0
1315718,1
4251658,0
5044959,0
4386900,0
8050808,0
579035,0
9878804,0
5328053,0
9087994,1
10180980,0
8597763,0
9644139,1
3592933,0
6910799,0
3367628,0
9797326,0
11494151,0
10135107,0
11276185,0
4717525,0
2125592,0
1841382,0
4255271,0
8503628,0
400830,0
9278624,0
3423716,0
10198989,0
2496729,1
3557788,0
6693881,0
1319445,0
5934953,0
7431950,0
3426147,1
5342118,0
7705808,0
6580329,0
2701618,1
6811232,0
9451797,0
176539,0
7803921,1
4110556,0
7027239,0
2706144,0
2711748,0
10610097,0
2471234,0
2140580,0
6683807,0
8049961,1
2331612,1
3057520,1
10494121,0
7490178,0
2317394,0
6931783,1
6434855,0
9338087,0
9865898,0
5815764,0
8303967,1
11157675,0
2196231,0
11140417,0
140422,0
6805779,1
10275107,0
6379735,0
1969811,0
1581778,0
8998627,0
2379397,0
7317688,0
7154884,0
1848187,1
9870475,0
726257,0
4721886,0
723850,0
2589149,0
8326607,0
1264862,0
10165429,0
4671553,0
1418540,1
8899513,0
8168958,1
10865586,0
11098068,0
5845984,0
4422380,0
55722,0
5680478,0
1015202,0
5336304,0
7541526,0
7975115,0
1604699,0
1239981,0
6939339,0
8812708,0
10175973,0
9045926,0
1345490,0
10461292,0
2635559,1
5953408,0
5799059,0
11113307,0
4519467,0
6806556,0
6136745,0
4352685,0
3805696,0
10111073,0
8998420,0
8967167,0
